document_id,query_id,question_type,parser,embedding_model,chunker_algorithm,chunk_size,overlap,n_chunks,latency_ms,evidence_recall@1,hit@1,full@1,evidence_recall@3,hit@3,full@3,evidence_recall@5,hit@5,full@5,evidence_recall@10,hit@10,full@10,mrr,ndcg@5,ndcg@10,evidence_coverage,n_matched@10,doc_query_key
D1,D1-Q001,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,12.049198150634766,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,1.0,1,D1::D1-Q001
D1,D1-Q002,temporal,context_aware,BGE-base,chunk_recursive,128,0,696,12.235164642333984,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,1.0,1,D1::D1-Q002
D1,D1-Q003,list_membership,context_aware,BGE-base,chunk_recursive,128,0,696,10.869503021240234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.8653811290048887,1.210504714639441,1.0,11,D1::D1-Q003
D1,D1-Q004,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,15.883445739746094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,D1::D1-Q004
D1,D1-Q005,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,11.10076904296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,D1::D1-Q005
D1,D1-Q006,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,10.693073272705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1111111111111111,0.0,0.3010299956639812,1.0,1,D1::D1-Q006
D1,D1-Q007,paraphrase,context_aware,BGE-base,chunk_recursive,128,0,696,11.034965515136719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,D1::D1-Q007
D1,D1-Q008,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,10.525226593017578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,0.43067655807339306,1.0,1,D1::D1-Q008
D1,D1-Q009,list_membership,context_aware,BGE-base,chunk_recursive,128,0,696,10.954141616821289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,D1::D1-Q009
D1,D1-Q010,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,10.835886001586914,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,0.6309297535714575,1.0,1,D1::D1-Q010
D1,D1-Q011,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,11.322975158691406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,D1::D1-Q011
D1,D1-Q012,exact_fact,context_aware,BGE-base,chunk_recursive,128,0,696,10.632514953613281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,D1::D1-Q012
